store_id,date,horizon_day,forecast_p50,forecast_p80,forecast_p95,forecast_cv,campaign,is_weekend
DXB-01,2026-08-02,0,738.9,813.3,884.7,0.12,none,False
DXB-02,2026-08-02,0,643.5,708.4,770.5,0.12,none,False
DXB-03,2026-08-02,0,488.6,537.8,585.0,0.12,none,False
DXB-04,2026-08-02,0,363.5,400.1,435.2,0.12,none,False
AUH-01,2026-08-02,0,572.0,629.7,684.9,0.12,none,False
AUH-02,2026-08-02,0,417.1,459.1,499.4,0.12,none,False
AUH-03,2026-08-02,0,309.8,341.1,371.0,0.12,none,False
SHJ-01,2026-08-02,0,464.8,511.6,556.5,0.12,none,False
SHJ-02,2026-08-02,0,357.5,393.5,428.1,0.12,none,False
AAN-01,2026-08-02,0,226.4,249.2,271.1,0.12,none,False
RAK-01,2026-08-02,0,208.5,229.6,249.7,0.12,none,False
FUJ-01,2026-08-02,0,178.8,196.8,214.0,0.12,none,False
DXB-01,2026-08-03,1,739.4,813.9,885.4,0.12,none,False
DXB-02,2026-08-03,1,644.0,708.9,771.1,0.12,none,False
DXB-03,2026-08-03,1,489.0,538.3,585.5,0.12,none,False
DXB-04,2026-08-03,1,363.7,400.4,435.5,0.12,none,False
AUH-01,2026-08-03,1,572.4,630.2,685.4,0.12,none,False
AUH-02,2026-08-03,1,417.4,459.5,499.8,0.12,none,False
AUH-03,2026-08-03,1,310.1,341.3,371.3,0.12,none,False
SHJ-01,2026-08-03,1,465.1,512.0,556.9,0.12,none,False
SHJ-02,2026-08-03,1,357.8,393.8,428.4,0.12,none,False
AAN-01,2026-08-03,1,226.6,249.4,271.3,0.12,none,False
RAK-01,2026-08-03,1,208.7,229.7,249.9,0.12,none,False
FUJ-01,2026-08-03,1,178.9,196.9,214.2,0.12,none,False
DXB-01,2026-08-04,2,740.0,814.6,886.0,0.12,none,False
DXB-02,2026-08-04,2,644.5,709.5,771.7,0.12,none,False
DXB-03,2026-08-04,2,489.3,538.7,585.9,0.12,none,False
DXB-04,2026-08-04,2,364.0,400.7,435.9,0.12,none,False
AUH-01,2026-08-04,2,572.9,630.6,686.0,0.12,none,False
AUH-02,2026-08-04,2,417.7,459.8,500.2,0.12,none,False
AUH-03,2026-08-04,2,310.3,341.6,371.6,0.12,none,False
SHJ-01,2026-08-04,2,465.5,512.4,557.3,0.12,none,False
SHJ-02,2026-08-04,2,358.1,394.1,428.7,0.12,none,False
AAN-01,2026-08-04,2,226.8,249.6,271.5,0.12,none,False
RAK-01,2026-08-04,2,208.9,229.9,250.1,0.12,none,False
FUJ-01,2026-08-04,2,179.0,197.1,214.4,0.12,none,False
DXB-01,2026-08-05,3,740.5,815.2,886.7,0.12,none,False
DXB-02,2026-08-05,3,645.0,710.0,772.3,0.12,none,False
DXB-03,2026-08-05,3,489.7,539.1,586.4,0.12,none,False
DXB-04,2026-08-05,3,364.3,401.0,436.2,0.12,none,False
AUH-01,2026-08-05,3,573.3,631.1,686.5,0.12,none,False
AUH-02,2026-08-05,3,418.0,460.2,500.6,0.12,none,False
AUH-03,2026-08-05,3,310.5,341.8,371.8,0.12,none,False
SHJ-01,2026-08-05,3,465.8,512.8,557.8,0.12,none,False
SHJ-02,2026-08-05,3,358.3,394.4,429.1,0.12,none,False
AAN-01,2026-08-05,3,226.9,249.8,271.7,0.12,none,False
RAK-01,2026-08-05,3,209.0,230.1,250.3,0.12,none,False
FUJ-01,2026-08-05,3,179.2,197.2,214.5,0.12,none,False
DXB-01,2026-08-06,4,741.1,815.8,887.4,0.12,none,False
DXB-02,2026-08-06,4,645.5,710.5,772.9,0.12,none,False
