store_id,date,actual_shipments,campaign,is_weekend
DXB-01,2026-02-01,613,none,False
DXB-02,2026-02-01,537,none,False
DXB-03,2026-02-01,442,none,False
DXB-04,2026-02-01,324,none,False
AUH-01,2026-02-01,512,none,False
AUH-02,2026-02-01,374,none,False
AUH-03,2026-02-01,319,none,False
SHJ-01,2026-02-01,386,none,False
SHJ-02,2026-02-01,294,none,False
AAN-01,2026-02-01,181,none,False
RAK-01,2026-02-01,190,none,False
FUJ-01,2026-02-01,170,none,False
DXB-01,2026-02-02,631,none,False
DXB-02,2026-02-02,514,none,False
DXB-03,2026-02-02,391,none,False
DXB-04,2026-02-02,332,none,False
AUH-01,2026-02-02,527,none,False
AUH-02,2026-02-02,378,none,False
AUH-03,2026-02-02,251,none,False
SHJ-01,2026-02-02,410,none,False
SHJ-02,2026-02-02,312,none,False
AAN-01,2026-02-02,199,none,False
RAK-01,2026-02-02,194,none,False
FUJ-01,2026-02-02,157,none,False
DXB-01,2026-02-03,677,none,False
DXB-02,2026-02-03,559,none,False
DXB-03,2026-02-03,433,none,False
DXB-04,2026-02-03,332,none,False
AUH-01,2026-02-03,429,none,False
AUH-02,2026-02-03,350,none,False
AUH-03,2026-02-03,256,none,False
SHJ-01,2026-02-03,378,none,False
SHJ-02,2026-02-03,301,none,False
AAN-01,2026-02-03,222,none,False
RAK-01,2026-02-03,166,none,False
FUJ-01,2026-02-03,168,none,False
DXB-01,2026-02-04,542,none,False
DXB-02,2026-02-04,540,none,False
DXB-03,2026-02-04,429,none,False
DXB-04,2026-02-04,331,none,False
AUH-01,2026-02-04,526,none,False
AUH-02,2026-02-04,386,none,False
AUH-03,2026-02-04,260,none,False
SHJ-01,2026-02-04,385,none,False
SHJ-02,2026-02-04,333,none,False
AAN-01,2026-02-04,192,none,False
RAK-01,2026-02-04,160,none,False
FUJ-01,2026-02-04,139,none,False
DXB-01,2026-02-05,587,none,False
DXB-02,2026-02-05,582,none,False
DXB-03,2026-02-05,428,none,False
DXB-04,2026-02-05,334,none,False
AUH-01,2026-02-05,476,none,False
AUH-02,2026-02-05,366,none,False
AUH-03,2026-02-05,283,none,False
SHJ-01,2026-02-05,391,none,False
SHJ-02,2026-02-05,322,none,False
AAN-01,2026-02-05,184,none,False
RAK-01,2026-02-05,175,none,False
FUJ-01,2026-02-05,149,none,False
DXB-01,2026-02-06,674,none,True
DXB-02,2026-02-06,687,none,True
DXB-03,2026-02-06,478,none,True
DXB-04,2026-02-06,372,none,True
AUH-01,2026-02-06,610,none,True
AUH-02,2026-02-06,444,none,True
AUH-03,2026-02-06,336,none,True
SHJ-01,2026-02-06,471,none,True
SHJ-02,2026-02-06,352,none,True
AAN-01,2026-02-06,230,none,True
RAK-01,2026-02-06,181,none,True
FUJ-01,2026-02-06,159,none,True
DXB-01,2026-02-07,666,none,True
DXB-02,2026-02-07,599,none,True
DXB-03,2026-02-07,518,none,True
DXB-04,2026-02-07,342,none,True
AUH-01,2026-02-07,565,none,True
AUH-02,2026-02-07,477,none,True
AUH-03,2026-02-07,307,none,True
SHJ-01,2026-02-07,507,none,True
SHJ-02,2026-02-07,335,none,True
AAN-01,2026-02-07,227,none,True
RAK-01,2026-02-07,195,none,True
FUJ-01,2026-02-07,177,none,True
DXB-01,2026-02-08,690,none,False
DXB-02,2026-02-08,472,none,False
DXB-03,2026-02-08,441,none,False
DXB-04,2026-02-08,322,none,False
AUH-01,2026-02-08,470,none,False
AUH-02,2026-02-08,315,none,False
AUH-03,2026-02-08,271,none,False
SHJ-01,2026-02-08,384,none,False
SHJ-02,2026-02-08,317,none,False
AAN-01,2026-02-08,197,none,False
RAK-01,2026-02-08,207,none,False
FUJ-01,2026-02-08,152,none,False
DXB-01,2026-02-09,583,none,False
DXB-02,2026-02-09,568,none,False
DXB-03,2026-02-09,433,none,False
DXB-04,2026-02-09,354,none,False
AUH-01,2026-02-09,534,none,False
AUH-02,2026-02-09,374,none,False
AUH-03,2026-02-09,305,none,False
SHJ-01,2026-02-09,360,none,False
SHJ-02,2026-02-09,293,none,False
AAN-01,2026-02-09,180,none,False
RAK-01,2026-02-09,175,none,False
FUJ-01,2026-02-09,136,none,False
DXB-01,2026-02-10,679,none,False
DXB-02,2026-02-10,548,none,False
DXB-03,2026-02-10,369,none,False
DXB-04,2026-02-10,287,none,False
AUH-01,2026-02-10,511,none,False
AUH-02,2026-02-10,390,none,False
AUH-03,2026-02-10,318,none,False
SHJ-01,2026-02-10,510,none,False
SHJ-02,2026-02-10,322,none,False
AAN-01,2026-02-10,179,none,False
RAK-01,2026-02-10,147,none,False
FUJ-01,2026-02-10,159,none,False
DXB-01,2026-02-11,596,none,False
DXB-02,2026-02-11,539,none,False
DXB-03,2026-02-11,402,none,False
DXB-04,2026-02-11,312,none,False
AUH-01,2026-02-11,545,none,False
AUH-02,2026-02-11,368,none,False
AUH-03,2026-02-11,266,none,False
SHJ-01,2026-02-11,367,none,False
SHJ-02,2026-02-11,264,none,False
AAN-01,2026-02-11,188,none,False
RAK-01,2026-02-11,181,none,False
FUJ-01,2026-02-11,180,none,False
DXB-01,2026-02-12,651,none,False
DXB-02,2026-02-12,610,none,False
DXB-03,2026-02-12,406,none,False
DXB-04,2026-02-12,283,none,False
AUH-01,2026-02-12,455,none,False
AUH-02,2026-02-12,340,none,False
AUH-03,2026-02-12,322,none,False
SHJ-01,2026-02-12,375,none,False
SHJ-02,2026-02-12,335,none,False
AAN-01,2026-02-12,181,none,False
RAK-01,2026-02-12,197,none,False
FUJ-01,2026-02-12,161,none,False
DXB-01,2026-02-13,749,none,True
DXB-02,2026-02-13,659,none,True
DXB-03,2026-02-13,473,none,True
DXB-04,2026-02-13,389,none,True
AUH-01,2026-02-13,564,none,True
AUH-02,2026-02-13,382,none,True
AUH-03,2026-02-13,282,none,True
SHJ-01,2026-02-13,485,none,True
SHJ-02,2026-02-13,420,none,True
AAN-01,2026-02-13,236,none,True
RAK-01,2026-02-13,212,none,True
FUJ-01,2026-02-13,189,none,True
DXB-01,2026-02-14,850,none,True
DXB-02,2026-02-14,676,none,True
DXB-03,2026-02-14,484,none,True
DXB-04,2026-02-14,411,none,True
AUH-01,2026-02-14,612,none,True
AUH-02,2026-02-14,489,none,True
AUH-03,2026-02-14,324,none,True
SHJ-01,2026-02-14,426,none,True
SHJ-02,2026-02-14,323,none,True
AAN-01,2026-02-14,268,none,True
RAK-01,2026-02-14,248,none,True
FUJ-01,2026-02-14,181,none,True
DXB-01,2026-02-15,623,none,False
DXB-02,2026-02-15,636,none,False
DXB-03,2026-02-15,384,none,False
DXB-04,2026-02-15,292,none,False
AUH-01,2026-02-15,528,none,False
AUH-02,2026-02-15,351,none,False
AUH-03,2026-02-15,270,none,False
SHJ-01,2026-02-15,400,none,False
SHJ-02,2026-02-15,322,none,False
AAN-01,2026-02-15,223,none,False
RAK-01,2026-02-15,184,none,False
FUJ-01,2026-02-15,165,none,False
DXB-01,2026-02-16,527,none,False
DXB-02,2026-02-16,560,none,False
DXB-03,2026-02-16,395,none,False
DXB-04,2026-02-16,283,none,False
AUH-01,2026-02-16,460,none,False
AUH-02,2026-02-16,354,none,False
AUH-03,2026-02-16,293,none,False
SHJ-01,2026-02-16,358,none,False
SHJ-02,2026-02-16,313,none,False
AAN-01,2026-02-16,189,none,False
RAK-01,2026-02-16,177,none,False
FUJ-01,2026-02-16,170,none,False
DXB-01,2026-02-17,759,ramadan,False
DXB-02,2026-02-17,706,ramadan,False
DXB-03,2026-02-17,472,ramadan,False
DXB-04,2026-02-17,334,ramadan,False
AUH-01,2026-02-17,549,ramadan,False
AUH-02,2026-02-17,417,ramadan,False
AUH-03,2026-02-17,308,ramadan,False
SHJ-01,2026-02-17,411,ramadan,False
SHJ-02,2026-02-17,353,ramadan,False
AAN-01,2026-02-17,226,ramadan,False
RAK-01,2026-02-17,251,ramadan,False
FUJ-01,2026-02-17,205,ramadan,False
DXB-01,2026-02-18,669,ramadan,False
DXB-02,2026-02-18,615,ramadan,False
DXB-03,2026-02-18,416,ramadan,False
DXB-04,2026-02-18,337,ramadan,False
AUH-01,2026-02-18,577,ramadan,False
AUH-02,2026-02-18,453,ramadan,False
AUH-03,2026-02-18,284,ramadan,False
SHJ-01,2026-02-18,429,ramadan,False
SHJ-02,2026-02-18,283,ramadan,False
AAN-01,2026-02-18,219,ramadan,False
RAK-01,2026-02-18,185,ramadan,False
FUJ-01,2026-02-18,167,ramadan,False
DXB-01,2026-02-19,668,ramadan,False
DXB-02,2026-02-19,626,ramadan,False
DXB-03,2026-02-19,404,ramadan,False
DXB-04,2026-02-19,310,ramadan,False
AUH-01,2026-02-19,669,ramadan,False
AUH-02,2026-02-19,362,ramadan,False
AUH-03,2026-02-19,274,ramadan,False
SHJ-01,2026-02-19,531,ramadan,False
SHJ-02,2026-02-19,443,ramadan,False
AAN-01,2026-02-19,199,ramadan,False
RAK-01,2026-02-19,198,ramadan,False
FUJ-01,2026-02-19,181,ramadan,False
DXB-01,2026-02-20,989,ramadan,True
DXB-02,2026-02-20,680,ramadan,True
DXB-03,2026-02-20,554,ramadan,True
DXB-04,2026-02-20,451,ramadan,True
AUH-01,2026-02-20,689,ramadan,True
AUH-02,2026-02-20,467,ramadan,True
AUH-03,2026-02-20,355,ramadan,True
SHJ-01,2026-02-20,472,ramadan,True
SHJ-02,2026-02-20,405,ramadan,True
AAN-01,2026-02-20,256,ramadan,True
RAK-01,2026-02-20,247,ramadan,True
FUJ-01,2026-02-20,197,ramadan,True
DXB-01,2026-02-21,893,ramadan,True
DXB-02,2026-02-21,814,ramadan,True
DXB-03,2026-02-21,575,ramadan,True
DXB-04,2026-02-21,435,ramadan,True
AUH-01,2026-02-21,667,ramadan,True
AUH-02,2026-02-21,484,ramadan,True
AUH-03,2026-02-21,336,ramadan,True
SHJ-01,2026-02-21,554,ramadan,True
SHJ-02,2026-02-21,411,ramadan,True
AAN-01,2026-02-21,312,ramadan,True
RAK-01,2026-02-21,276,ramadan,True
FUJ-01,2026-02-21,215,ramadan,True
DXB-01,2026-02-22,677,ramadan,False
DXB-02,2026-02-22,570,ramadan,False
DXB-03,2026-02-22,532,ramadan,False
DXB-04,2026-02-22,366,ramadan,False
AUH-01,2026-02-22,587,ramadan,False
AUH-02,2026-02-22,346,ramadan,False
AUH-03,2026-02-22,330,ramadan,False
SHJ-01,2026-02-22,476,ramadan,False
SHJ-02,2026-02-22,317,ramadan,False
AAN-01,2026-02-22,213,ramadan,False
RAK-01,2026-02-22,210,ramadan,False
FUJ-01,2026-02-22,177,ramadan,False
DXB-01,2026-02-23,708,ramadan,False
DXB-02,2026-02-23,628,ramadan,False
DXB-03,2026-02-23,470,ramadan,False
DXB-04,2026-02-23,363,ramadan,False
AUH-01,2026-02-23,638,ramadan,False
AUH-02,2026-02-23,316,ramadan,False
AUH-03,2026-02-23,299,ramadan,False
SHJ-01,2026-02-23,465,ramadan,False
SHJ-02,2026-02-23,361,ramadan,False
AAN-01,2026-02-23,215,ramadan,False
RAK-01,2026-02-23,173,ramadan,False
FUJ-01,2026-02-23,181,ramadan,False
DXB-01,2026-02-24,841,ramadan,False
DXB-02,2026-02-24,547,ramadan,False
DXB-03,2026-02-24,519,ramadan,False
DXB-04,2026-02-24,348,ramadan,False
AUH-01,2026-02-24,561,ramadan,False
AUH-02,2026-02-24,372,ramadan,False
AUH-03,2026-02-24,296,ramadan,False
SHJ-01,2026-02-24,512,ramadan,False
SHJ-02,2026-02-24,371,ramadan,False
AAN-01,2026-02-24,258,ramadan,False
RAK-01,2026-02-24,227,ramadan,False
FUJ-01,2026-02-24,183,ramadan,False
DXB-01,2026-02-25,843,ramadan,False
DXB-02,2026-02-25,660,ramadan,False
DXB-03,2026-02-25,518,ramadan,False
DXB-04,2026-02-25,349,ramadan,False
AUH-01,2026-02-25,568,ramadan,False
AUH-02,2026-02-25,386,ramadan,False
AUH-03,2026-02-25,333,ramadan,False
SHJ-01,2026-02-25,410,ramadan,False
SHJ-02,2026-02-25,377,ramadan,False
AAN-01,2026-02-25,220,ramadan,False
RAK-01,2026-02-25,227,ramadan,False
FUJ-01,2026-02-25,188,ramadan,False
DXB-01,2026-02-26,849,ramadan,False
DXB-02,2026-02-26,677,ramadan,False
DXB-03,2026-02-26,414,ramadan,False
DXB-04,2026-02-26,357,ramadan,False
AUH-01,2026-02-26,505,ramadan,False
AUH-02,2026-02-26,393,ramadan,False
AUH-03,2026-02-26,347,ramadan,False
SHJ-01,2026-02-26,485,ramadan,False
SHJ-02,2026-02-26,331,ramadan,False
AAN-01,2026-02-26,203,ramadan,False
RAK-01,2026-02-26,206,ramadan,False
FUJ-01,2026-02-26,157,ramadan,False
DXB-01,2026-02-27,809,ramadan,True
DXB-02,2026-02-27,771,ramadan,True
DXB-03,2026-02-27,629,ramadan,True
DXB-04,2026-02-27,447,ramadan,True
AUH-01,2026-02-27,529,ramadan,True
AUH-02,2026-02-27,500,ramadan,True
AUH-03,2026-02-27,364,ramadan,True
SHJ-01,2026-02-27,562,ramadan,True
SHJ-02,2026-02-27,477,ramadan,True
AAN-01,2026-02-27,215,ramadan,True
RAK-01,2026-02-27,230,ramadan,True
FUJ-01,2026-02-27,219,ramadan,True
DXB-01,2026-02-28,739,ramadan,True
DXB-02,2026-02-28,851,ramadan,True
DXB-03,2026-02-28,589,ramadan,True
DXB-04,2026-02-28,456,ramadan,True
AUH-01,2026-02-28,633,ramadan,True
AUH-02,2026-02-28,522,ramadan,True
AUH-03,2026-02-28,396,ramadan,True
SHJ-01,2026-02-28,554,ramadan,True
SHJ-02,2026-02-28,426,ramadan,True
AAN-01,2026-02-28,271,ramadan,True
RAK-01,2026-02-28,224,ramadan,True
FUJ-01,2026-02-28,206,ramadan,True
DXB-01,2026-03-01,721,ramadan,False
DXB-02,2026-03-01,659,ramadan,False
DXB-03,2026-03-01,527,ramadan,False
DXB-04,2026-03-01,325,ramadan,False
AUH-01,2026-03-01,560,ramadan,False
AUH-02,2026-03-01,468,ramadan,False
AUH-03,2026-03-01,286,ramadan,False
SHJ-01,2026-03-01,426,ramadan,False
SHJ-02,2026-03-01,360,ramadan,False
AAN-01,2026-03-01,241,ramadan,False
