scenario,network_avg_required_headcount,network_existing_headcount,network_gap_headcount,network_required_courier_hours_total,implied_labour_cost_aed,implied_cost_per_shipment_aed,delta_gap_vs_base,delta_cost_vs_base_aed
Base case,116.9,73,43.9,84190.0,1852189.0,3.816,0.0,0.0
Demand +10%,128.6,73,55.6,92609.0,2037407.0,3.816,11.700000000000003,185218.0
Demand +20%,140.3,73,67.3,101028.0,2222626.0,3.816,23.4,370437.0
Demand +30%,152.0,73,79.0,109448.0,2407845.0,3.816,35.1,555656.0
Forecast deteriorates (plan to P95 band),157.3,73,84.3,113264.0,2491800.0,3.816,40.4,639611.0
Weekend demand spike (+25% on weekend days),126.1,73,53.1,90767.0,1996868.0,3.816,9.200000000000003,144679.0
Absenteeism rises to 15%,128.5,73,55.5,92524.0,2035537.0,4.193,11.600000000000001,183348.0
Productivity falls 15% (service+travel time up),134.5,73,61.5,96819.0,2130017.0,4.388,17.6,277828.0
"New store added (limited history, cold start)",121.7,73,48.7,87601.0,1927231.0,3.825,4.800000000000004,75042.0
Sustained campaign-level demand (Black Friday uplift network-wide),187.1,73,114.1,134705.0,2963502.0,3.816,70.19999999999999,1111313.0
