store_id,structural_level,peak_level,min_level,mean_level,existing_permanent,existing_outsourced,existing_headcount,structural_gap,peak_gap,structural_gap_int,peak_gap_int,recommended_permanent_add,recommended_outsourced_add,structural_need_date,latest_permanent_hire_start_date,permanent_hire_action_date,permanent_hire_available_date,outsourced_booking_date,outsourced_available_date,peak_outsourced_booking_date
AAN-01,5.3448959451934925,5.459583681342719,4.924332816290816,5.32125882807484,2,2,4,1.3448959451934925,0.1146877361492269,2,1,2,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
AUH-01,10.35176188037757,10.574474422967292,9.53835726312161,10.306384238110388,3,3,6,4.35176188037757,0.22271254258972206,5,1,5,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
AUH-02,10.50159752880192,10.727671054899309,9.676981002001884,10.455759721062192,4,2,6,4.50159752880192,0.22607352609738918,5,1,5,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
AUH-03,10.970685180766015,11.206849943324185,10.107497613649922,10.92254536195817,5,2,7,3.970685180766015,0.23616476255816998,4,1,0,4,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
DXB-01,13.37085205955269,13.658360635498282,12.321489828182791,13.312515210614333,5,4,9,4.370852059552689,0.2875085759455924,5,1,1,4,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
DXB-02,11.645657671452621,11.89595617236076,10.730651921011813,11.594685245633071,5,3,8,3.6456576714526214,0.2502985009081389,4,1,0,4,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
DXB-03,12.302131806069283,12.56655265216296,11.335825743414338,12.248263740925713,5,2,7,5.3021318060692835,0.26442084609367633,6,1,6,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
DXB-04,12.869045310822097,13.146085640138407,11.859507367855864,12.81312854756507,5,3,8,4.869045310822097,0.2770403293163106,5,1,5,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
FUJ-01,4.500921396279946,4.597469143167747,4.148271884818836,4.481134576886874,2,1,3,1.5009213962799457,0.09654774688780154,2,1,0,2,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
RAK-01,4.922623841625899,5.028331692717655,4.534997315356162,4.901024177419446,2,1,3,1.9226238416258994,0.10570785109175596,2,1,2,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
SHJ-01,11.702229911572472,11.953525832239588,10.783650850468652,11.650838158116526,4,3,7,4.702229911572472,0.2512959206671166,5,1,5,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
SHJ-02,8.438761534025375,8.620378932506066,7.775834725370878,8.40198084812018,2,3,5,3.4387615340253745,0.18161739848069125,4,1,4,0,2026-08-02,2026-06-11,2026-08-02,2026-09-23,2026-08-02,2026-08-09,2026-08-02
